date,nav,cash
2023-11-23,902334.014506148,269.5887522191624
2023-11-24,900787.7128459117,269.5887522191624
2023-11-27,897724.5081880275,269.5887522191624
2023-11-28,896065.052539109,269.5887522191624
2023-11-29,890570.0217723582,269.5887522191624
2023-11-30,892265.3713098039,269.5887522191624
2023-12-01,893036.5144299634,269.5887522191624
2023-12-04,892216.2528863628,267.56277522817254
2023-12-05,882875.2582544077,267.56277522817254
2023-12-06,879984.7956379757,267.56277522817254
2023-12-07,878255.0567480786,267.56277522817254
2023-12-08,880325.1818236969,267.56277522817254
2023-12-11,881801.6922934257,267.56277522817254
2023-12-12,881727.3341484029,267.56277522817254
2023-12-13,871421.8843684897,267.56277522817254
2023-12-14,866790.0371020434,267.56277522817254
2023-12-15,864935.0688227876,267.56277522817254
2023-12-18,861831.4536529577,267.56277522817254
2023-12-19,861832.7553014129,267.56277522817254
2023-12-20,857097.9710833025,267.56277522817254
2023-12-21,860429.5366503213,267.56277522817254
2023-12-22,862460.8805125238,267.56277522817254
2023-12-25,864189.9127676358,267.56277522817254
2023-12-26,861063.046278485,267.56277522817254
2023-12-27,860957.8351295126,267.56277522817254
2023-12-28,868995.6257262398,267.56277522817254
2023-12-29,867411.7043699805,267.56277522817254
2024-01-02,867175.3398447147,267.56277522817254
2024-01-03,869625.1421443068,259.81450792006217
2024-01-04,864906.258239568,259.81450792006217
2024-01-05,864147.5723049699,259.81450792006217
2024-01-08,857168.271524731,259.81450792006217
2024-01-09,862205.5035439116,259.81450792006217
2024-01-10,861088.2884840132,259.81450792006217
2024-01-11,861593.2890802715,259.81450792006217
2024-01-12,862697.3010666305,259.81450792006217
2024-01-15,865912.0202150986,259.81450792006217
2024-01-16,871615.750267645,259.81450792006217
2024-01-17,861969.5720579737,259.81450792006217
2024-01-18,864362.2924065621,259.81450792006217
2024-01-19,863465.9107605631,259.81450792006217
2024-01-22,853441.3399596666,259.81450792006217
2024-01-23,857672.0964758901,259.81450792006217
2024-01-24,873229.585983371,259.81450792006217
2024-01-25,887213.1145739853,259.81450792006217
2024-01-26,894022.0565667007,259.81450792006217
2024-01-29,894425.3778623098,259.81450792006217
2024-01-30,885293.3115312577,259.81450792006217
2024-01-31,880944.4801028053,259.81450792006217
2024-02-01,878821.5807731175,259.81450792006217
2024-02-02,875662.7182564267,263.30383514339337
2024-02-05,872987.0518273715,263.30383514339337
2024-02-06,891925.1406847938,263.30383514339337
2024-02-07,893494.9060298051,263.30383514339337
2024-02-08,896375.7357651581,263.30383514339337
2024-02-19,903103.2319293264,263.30383514339337
2024-02-20,905452.9928054856,263.30383514339337
2024-02-21,910914.1941213857,263.30383514339337
2024-02-22,916582.9996021176,263.30383514339337
2024-02-23,915228.5492885115,263.30383514339337
2024-02-26,905562.5726200512,263.30383514339337
2024-02-27,909629.7965513591,263.30383514339337
2024-02-28,903845.6936927382,263.30383514339337
2024-02-29,908870.2641675422,263.30383514339337
2024-03-01,904789.0660628253,263.30383514339337
2024-03-04,902772.4947447754,271.08395477142767
2024-03-05,906233.9176066224,271.08395477142767
2024-03-06,904709.5319146886,271.08395477142767
2024-03-07,906215.5120535389,271.08395477142767
2024-03-08,904614.0977777706,271.08395477142767
2024-03-11,905281.012802738,271.08395477142767
2024-03-12,904558.2356423966,271.08395477142767
2024-03-13,900077.5165646616,271.08395477142767
2024-03-14,901190.7305019496,271.08395477142767
2024-03-15,905597.0994824944,271.08395477142767
2024-03-18,909629.0725633691,271.08395477142767
2024-03-19,910321.8806130853,271.08395477142767
2024-03-20,909611.6158871022,271.08395477142767
2024-03-21,907926.0063738038,271.08395477142767
2024-03-22,902152.0518555517,271.08395477142767
2024-03-25,902744.7150234064,271.08395477142767
2024-03-26,903970.4767118198,271.08395477142767
2024-03-27,900458.5663064432,271.08395477142767
2024-03-28,901420.4457895829,271.08395477142767
2024-03-29,905993.6592133434,271.08395477142767
2024-04-01,913552.4060110225,271.08395477142767
2024-04-02,914183.0358550488,273.7095420875121
2024-04-03,914722.7367568198,273.7095420875121
2024-04-08,914101.4895557351,273.7095420875121
2024-04-09,913852.8377150837,273.7095420875121
2024-04-10,911127.9034058871,273.7095420875121
2024-04-11,913202.7579516564,273.7095420875121
2024-04-12,906469.59285307,273.7095420875121
2024-04-15,916024.8971877173,273.7095420875121
2024-04-16,909811.2865301394,273.7095420875121
2024-04-17,923191.1683481797,273.7095420875121
2024-04-18,923410.4952093313,273.7095420875121
2024-04-19,921497.8329352201,273.7095420875121
2024-04-22,918182.6521866493,273.7095420875121
2024-04-23,910710.864491153,273.7095420875121
2024-04-24,915745.3767948896,273.7095420875121
2024-04-25,919225.3033030601,273.7095420875121
2024-04-26,926335.4790713812,273.7095420875121
2024-04-29,924196.8264883403,273.7095420875121
2024-04-30,924858.3583837452,273.7095420875121
2024-05-06,929948.7567070697,273.7095420875121
2024-05-07,926499.1948248579,278.62205374392215
2024-05-08,922828.5686107108,278.62205374392215
2024-05-09,930156.5174889745,278.62205374392215
2024-05-10,931400.4708953263,278.62205374392215
2024-05-13,931879.1773957284,278.62205374392215
2024-05-14,927899.724225307,278.62205374392215
2024-05-15,923667.9706937041,278.62205374392215
2024-05-16,924538.8384468742,278.62205374392215
2024-05-17,933532.5515636392,278.62205374392215
2024-05-20,939789.3277147231,278.62205374392215
2024-05-21,939184.2914238035,278.62205374392215
2024-05-22,944087.1624620331,278.62205374392215
2024-05-23,934239.3881582518,278.62205374392215
2024-05-24,932011.1433021922,278.62205374392215
2024-05-27,938078.6030733894,278.62205374392215
2024-05-28,932394.8057185404,278.62205374392215
2024-05-29,931219.5519560335,278.62205374392215
2024-05-30,927537.8128443849,278.62205374392215
2024-05-31,924650.9018918735,278.62205374392215
2024-06-03,918488.7969217193,278.62205374392215
2024-06-04,919533.2900066767,275.1885371081298
2024-06-05,916275.3679786497,275.1885371081298
2024-06-06,913022.5824824744,275.1885371081298
2024-06-07,917004.838691673,275.1885371081298
2024-06-11,907845.331025982,275.1885371081298
2024-06-12,908487.5434035971,275.1885371081298
2024-06-13,901071.0297962939,275.1885371081298
2024-06-14,904520.1739526009,275.1885371081298
2024-06-17,899992.665044508,275.1885371081298
2024-06-18,907449.3203743162,275.1885371081298
2024-06-19,905376.5526965156,275.1885371081298
2024-06-20,901753.7688318691,275.1885371081298
2024-06-21,901973.4457905462,275.1885371081298
2024-06-24,898906.0593700181,275.1885371081298
2024-06-25,900252.1506032099,275.1885371081298
2024-06-26,904872.2308005912,275.1885371081298
2024-06-27,902955.5903010183,275.1885371081298
2024-06-28,909502.2527740014,275.1885371081298
